group,subgroup,relative_path,filename,expected_length_mm,measured_length_mm,error_mm,error_percent,abs_error_percent,dpi,pixel_size_mm,reference_source,raw_length_mm,threshold,foreground_percent,average_diameter_mm,area_mm2,branch_points,preprocessing_mode,correction_mode
Sintéticas,Sintéticas,Sintéticas\sintetica_001_clara_reta_1000mm.png,sintetica_001_clara_reta_1000mm.png,1000.000000,994.833333,-5.166667,-0.517,0.517,300.000,0.084666667,nome do arquivo em mm,994.833333,145.000,3.536,0.677333,593.117093,0,,
Sintéticas,Sintéticas,Sintéticas\sintetica_002_clara_curva_continua_1500mm.png,sintetica_002_clara_curva_continua_1500mm.png,1500.000000,1495.890239,-4.109761,-0.274,0.274,300.000,0.084666667,nome do arquivo em mm,1495.890239,143.000,4.413,0.846265,1142.126748,0,,
Sintéticas,Sintéticas,Sintéticas\sintetica_003_escura_fragmentada_7000mm.png,sintetica_003_escura_fragmentada_7000mm.png,7000.000000,7122.867597,122.867597,1.755,1.755,300.000,0.084666667,nome do arquivo em mm,7122.867597,113.000,4.287,0.434482,2749.765110,1523,,
Sintéticas,Sintéticas,Sintéticas\sintetica_004_escura_fragmentada_ruido_3000mm.png,sintetica_004_escura_fragmentada_ruido_3000mm.png,3000.000000,2979.881792,-20.118208,-0.671,0.671,300.000,0.084666667,nome do arquivo em mm,2979.881792,111.000,1.777,0.424306,1140.047899,265,,
Sintéticas,Sintéticas,Sintéticas\sintetica_005_escura_rede_densa_6600mm.png,sintetica_005_escura_rede_densa_6600mm.png,6600.000000,6481.156891,-118.843109,-1.801,1.801,300.000,0.084666667,nome do arquivo em mm,6481.156891,114.000,6.460,0.449500,2528.568420,3024,,
Sintéticas,Sintéticas,Sintéticas\sintetica_006_escura_raizes_espessas_2500mm.png,sintetica_006_escura_raizes_espessas_2500mm.png,2500.000000,2443.989678,-56.010322,-2.240,2.240,300.000,0.084666667,nome do arquivo em mm,2443.989678,121.000,7.578,1.114382,2476.977125,480,,
Sintéticas,Sintéticas,Sintéticas\sintetica_007_escura_vertical_2200mm.png,sintetica_007_escura_vertical_2200mm.png,2200.000000,2166.068615,-33.931385,-1.542,1.542,300.000,0.084666667,nome do arquivo em mm,2166.068615,114.000,2.824,0.473821,894.664877,141,,
Sintéticas,Sintéticas,Sintéticas\sintetica_008_escura_diagonal_1800mm.png,sintetica_008_escura_diagonal_1800mm.png,1800.000000,1738.703351,-61.296649,-3.405,3.405,300.000,0.084666667,nome do arquivo em mm,1738.703351,113.000,2.679,0.438806,693.389294,115,,
Sintéticas,Sintéticas,Sintéticas\sintetica_009_clara_fragmentada_4200mm.png,sintetica_009_clara_fragmentada_4200mm.png,4200.000000,4245.734444,45.734444,1.089,1.089,300.000,0.084666667,nome do arquivo em mm,4245.734444,147.000,3.814,0.507707,1968.361655,738,,
Sintéticas,Sintéticas,Sintéticas\sintetica_010_escura_baixo_contraste_2000mm.png,sintetica_010_escura_baixo_contraste_2000mm.png,2000.000000,2091.026538,91.026538,4.551,4.551,300.000,0.084666667,nome do arquivo em mm,2091.026538,42.000,2.016,0.416615,788.872974,256,,
Sintéticas,Sintéticas,Sintéticas\sintetica_011_clara_com_ruido_3500mm.png,sintetica_011_clara_com_ruido_3500mm.png,3500.000000,3609.576331,109.576331,3.131,3.131,300.000,0.084666667,nome do arquivo em mm,3609.576331,150.000,2.967,0.425424,1369.674680,623,,
Sintéticas,Sintéticas,Sintéticas\sintetica_012_escura_cruzamentos_5200mm.png,sintetica_012_escura_cruzamentos_5200mm.png,5200.000000,4663.864045,-536.135955,-10.310,10.310,300.000,0.084666667,nome do arquivo em mm,4663.864045,114.000,4.901,0.464443,1854.856505,2063,,
Sintéticas,Sintéticas,Sintéticas\sintetica_013_escura_fina_1200mm.png,sintetica_013_escura_fina_1200mm.png,1200.000000,1266.581188,66.581188,5.548,5.548,300.000,0.084666667,nome do arquivo em mm,1266.581188,95.000,1.439,0.309675,330.106867,157,,
Sintéticas,Sintéticas,Sintéticas\sintetica_014_escura_arcos_longos_7000mm.png,sintetica_014_escura_arcos_longos_7000mm.png,7000.000000,7105.284842,105.284842,1.504,1.504,300.000,0.084666667,nome do arquivo em mm,7105.284842,113.000,4.320,0.442369,2770.962200,1531,,
Sintéticas,Sintéticas,Sintéticas\sintetica_015_escura_curtas_esparsas_2800mm.png,sintetica_015_escura_curtas_esparsas_2800mm.png,2800.000000,2532.184838,-267.815162,-9.565,9.565,300.000,0.084666667,nome do arquivo em mm,2532.184838,109.000,1.568,0.340903,775.367625,323,,
Sintéticas,Sintéticas,Sintéticas\sintetica_016_clara_circular_continua_1000mm.png,sintetica_016_clara_circular_continua_1000mm.png,1000.000000,1055.522717,55.522717,5.552,5.552,300.000,0.084666667,nome do arquivo em mm,1055.522717,144.000,0.465,0.740457,736.127560,0,,
Sintéticas,Sintéticas,Sintéticas\sintetica_017_clara_lacos_aninhados_1442mm.png,sintetica_017_clara_lacos_aninhados_1442mm.png,1442.000000,1517.585735,75.585735,5.242,5.242,300.000,0.084666667,nome do arquivo em mm,1517.585735,145.000,0.486,0.666207,942.994530,20,,
Sintéticas,Sintéticas,Sintéticas\sintetica_018_clara_espiral_continua_2609mm.png,sintetica_018_clara_espiral_continua_2609mm.png,2609.000000,2751.637196,142.637196,5.467,5.467,300.000,0.084666667,nome do arquivo em mm,2751.637196,145.000,3.043,0.664699,1710.218802,0,,
Sintéticas,Sintéticas,Sintéticas\sintetica_019_escura_fragmentos_circulares_3600mm.png,sintetica_019_escura_fragmentos_circulares_3600mm.png,3600.000000,3567.236303,-32.763697,-0.910,0.910,300.000,0.084666667,nome do arquivo em mm,3567.236303,113.000,3.710,0.436641,1406.907580,490,,
Sintéticas,Sintéticas,Sintéticas\sintetica_020_clara_parecida_scanner_1063mm.png,sintetica_020_clara_parecida_scanner_1063mm.png,1063.000000,1119.061916,56.061916,5.274,5.274,300.000,0.084666667,nome do arquivo em mm,1119.061916,152.000,0.943,0.582351,605.160080,24,,
Imagens Jean,Jean continuo,"Medidas de Scanner\Imagens Jean\Scanner Winrhizo - Continuo\0,215Metro.bmp","0,215Metro.bmp",215.000000,241.474953,26.474953,12.314,12.314,300.000,0.084666667,nome do arquivo em metros,241.474953,164.000,0.826,1.524933,355.060222,25,,
Imagens Jean,Jean continuo,"Medidas de Scanner\Imagens Jean\Scanner Winrhizo - Continuo\0,36Metro.bmp","0,36Metro.bmp",360.000000,593.058796,233.058796,64.739,64.739,300.000,0.084666667,nome do arquivo em metros,593.058796,164.000,1.794,1.493693,770.786989,231,,
Imagens Jean,Jean continuo,"Medidas de Scanner\Imagens Jean\Scanner Winrhizo - Continuo\0,5Metro.bmp","0,5Metro.bmp",500.000000,544.368487,44.368487,8.874,8.874,300.000,0.084666667,nome do arquivo em metros,544.368487,165.000,1.791,1.482130,769.697385,61,,
Imagens Jean,Jean continuo,Medidas de Scanner\Imagens Jean\Scanner Winrhizo - Continuo\1Metro.bmp,1Metro.bmp,1000.000000,1071.415451,71.415451,7.142,7.142,300.000,0.084666667,nome do arquivo em metros,1071.415451,163.000,3.610,1.500080,1551.108009,79,,
Imagens Jean,Jean picotado,"Medidas de Scanner\Imagens Jean\Scanner Winrhizo - Picotado\0,27Metro.bmp","0,27Metro.bmp",270.000000,278.434409,8.434409,3.124,3.124,300.000,0.084666667,nome do arquivo em metros,278.434409,171.000,0.518,0.825164,222.537189,12,,
Imagens Jean,Jean picotado,"Medidas de Scanner\Imagens Jean\Scanner Winrhizo - Picotado\0,37Metro.bmp","0,37Metro.bmp",370.000000,406.558038,36.558038,9.881,9.881,300.000,0.084666667,nome do arquivo em metros,406.558038,172.000,0.746,0.811731,320.343445,27,,
Imagens Jean,Jean picotado,"Medidas de Scanner\Imagens Jean\Scanner Winrhizo - Picotado\1,6Metro.bmp","1,6Metro.bmp",1600.000000,1637.270114,37.270114,2.329,2.329,300.000,0.084666667,nome do arquivo em metros,1637.270114,170.000,3.085,0.842831,1325.674768,89,,
Imagens Jean,Jean picotado,Medidas de Scanner\Imagens Jean\Scanner Winrhizo - Picotado\1Metro.bmp,1Metro.bmp,1000.000000,1088.068150,88.068150,8.807,8.807,300.000,0.084666667,nome do arquivo em metros,1088.068150,164.000,3.734,1.532330,1604.527257,161,,
Imagens Teruo,Imagens Teruo,Medidas de Scanner\Imagens Teruo\1225.bmp,1225.bmp,1225.000000,1230.498057,5.498057,0.449,0.449,300.000,0.084666667,nome do arquivo em mm,1230.498057,17.000,1.784,0.552645,589.611724,886,dark-background-enhanced,
Imagens Teruo,Imagens Teruo,Medidas de Scanner\Imagens Teruo\1634.bmp,1634.bmp,1634.000000,1506.949030,-127.050970,-7.775,7.775,300.000,0.084666667,nome do arquivo em mm,1506.949030,19.040,2.456,0.641277,811.510922,1382,dark-background-enhanced,
Imagens Teruo,Imagens Teruo,Medidas de Scanner\Imagens Teruo\2000.bmp,2000.bmp,2000.000000,1964.029103,-35.970897,-1.799,1.799,300.000,0.084666667,nome do arquivo em mm,5643.708610,9.000,3.365,0.530977,2158.683855,9591,dark-background-enhanced,dense-graph
Imagens Teruo,Imagens Teruo,Medidas de Scanner\Imagens Teruo\32 - 3000.bmp,32 - 3000.bmp,3000.000000,2125.986656,-874.013344,-29.134,29.134,300.000,0.084666667,nome do arquivo em mm,1387.862774,14.280,2.210,1.063642,1417.445194,50,dark-background-enhanced,fragmented-components-blended
Imagens Teruo,Imagens Teruo,Medidas de Scanner\Imagens Teruo\37 - 3000.bmp,37 - 3000.bmp,3000.000000,4519.801559,1519.801559,50.660,50.660,300.000,0.084666667,nome do arquivo em mm,4898.679030,9.000,4.126,0.655188,2646.453488,4818,dark-background-enhanced,dense-graph
