filename,group,expected_length_mm,measured_length_mm,error_mm,error_percent,raw_length_mm,threshold,foreground_percent,average_diameter_mm,branch_points,preprocessing_mode,correction_mode
sintetica_001_clara_reta_1000mm.png,sintetica_reta,1000.000000,994.833333,-5.166667,-0.517,994.833333,145.000,3.536,0.677333,0,,
sintetica_002_clara_curva_continua_1500mm.png,sintetica_continua,1500.000000,1495.890239,-4.109761,-0.274,1495.890239,143.000,4.413,0.846265,0,,
sintetica_003_escura_fragmentada_7000mm.png,sintetica_fragmentada,7000.000000,7122.867597,122.867597,1.755,7122.867597,113.000,4.287,0.434482,1523,,
sintetica_004_escura_fragmentada_ruido_3000mm.png,sintetica_fragmentada_ruido,3000.000000,2979.881792,-20.118208,-0.671,2979.881792,111.000,1.777,0.424306,265,,
sintetica_005_escura_rede_densa_6600mm.png,sintetica_densa,6600.000000,6481.156891,-118.843109,-1.801,6481.156891,114.000,6.460,0.449500,3024,,
sintetica_006_escura_raizes_espessas_2500mm.png,sintetica_espessa,2500.000000,2443.989678,-56.010322,-2.240,2443.989678,121.000,7.578,1.114382,480,,
sintetica_007_escura_vertical_2200mm.png,sintetica_orientada,2200.000000,2166.068615,-33.931385,-1.542,2166.068615,114.000,2.824,0.473821,141,,
sintetica_008_escura_diagonal_1800mm.png,sintetica_orientada,1800.000000,1738.703351,-61.296649,-3.405,1738.703351,113.000,2.679,0.438806,115,,
sintetica_009_clara_fragmentada_4200mm.png,sintetica_orientada,4200.000000,4245.734444,45.734444,1.089,4245.734444,147.000,3.814,0.507707,738,,
sintetica_010_escura_baixo_contraste_2000mm.png,sintetica_baixo_contraste,2000.000000,2091.026538,91.026538,4.551,2091.026538,42.000,2.016,0.416615,256,,
sintetica_011_clara_com_ruido_3500mm.png,sintetica_orientada,3500.000000,3609.576331,109.576331,3.131,3609.576331,150.000,2.967,0.425424,623,,
sintetica_012_escura_cruzamentos_5200mm.png,sintetica_cruzamentos,5200.000000,4663.864045,-536.135955,-10.310,4663.864045,114.000,4.901,0.464443,2063,,
sintetica_013_escura_fina_1200mm.png,sintetica_orientada,1200.000000,1266.581188,66.581188,5.548,1266.581188,95.000,1.439,0.309675,157,,
sintetica_014_escura_arcos_longos_7000mm.png,sintetica_orientada,7000.000000,7105.284842,105.284842,1.504,7105.284842,113.000,4.320,0.442369,1531,,
sintetica_015_escura_curtas_esparsas_2800mm.png,sintetica_orientada,2800.000000,2532.184838,-267.815162,-9.565,2532.184838,109.000,1.568,0.340903,323,,
sintetica_016_clara_circular_continua_1000mm.png,sintetica_circular_continua,999.992504,1055.522717,55.530213,5.553,1055.522717,144.000,0.465,0.740457,0,,
sintetica_017_clara_lacos_aninhados_1442mm.png,sintetica_circular_continua,1441.636798,1517.585735,75.948937,5.268,1517.585735,145.000,0.486,0.666207,20,,
sintetica_018_clara_espiral_continua_2609mm.png,sintetica_circular_continua,2608.901693,2751.637196,142.735503,5.471,2751.637196,145.000,3.043,0.664699,0,,
sintetica_019_escura_fragmentos_circulares_3600mm.png,sintetica_circular_fragmentada,3600.000000,3567.236303,-32.763697,-0.910,3567.236303,113.000,3.710,0.436641,490,,
sintetica_020_clara_parecida_scanner_1063mm.png,sintetica_parecida_scanner,1063.487742,1119.061916,55.574174,5.226,1119.061916,152.000,0.943,0.582351,24,,
